標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,738.0,0.96,多空分歧,33.3,↓,MA20下方,32%,PE:19.5,EPS:37.86,營收:12%,1.1x,,偏弱,🎯 一條件滿足 — 待確認,$711.2 ~ $725.5,$696.5
00909.TW,國泰智能電動車ETF,,,三線多頭,,↑,MA20下方,nan%,PE:21.6,EPS:--,營收:--,0.9x,外資買超,強勢★★★,— 目前無買入信號,$38.9 ~ $39.7,$38.0
0056.TW,元大高股息,,,三線多頭,,↑,MA20下方,nan%,PE:18.2,EPS:--,營收:--,1.3x,外資賣超,稍強★★,— 目前無買入信號,$38.7 ~ $39.5,$37.8
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:19.6,EPS:--,營收:--,1.7x,外資賣超,稍強★★,— 目前無買入信號,$23.0 ~ $23.5,$22.5
00713.TW,元大高息低波,,,三線多頭,,↑,MA20下方,nan%,PE:16.7,EPS:--,營收:--,1.9x,外資買超,強勢★★★,— 目前無買入信號,$52.4 ~ $53.5,$51.1
00919.TW,群益台灣精選高息,,,三線多頭,,↑,MA20下方,nan%,PE:13.6,EPS:--,營收:--,2.0x,外資買超,強勢★★★,— 目前無買入信號,$22.8 ~ $23.2,$22.2
2330.TW,台積電,2255.0,0.89,偏多,65.4,↑,MA20上方,94%,PE:30.7,EPS:73.51,營收:35%,1.4x,外資賣超,稍強★★,— 目前無買入信號,"$1,956.5 ~ $1,995.8","$1,949.7"
6111.TWO,6111擎亞,48.150001525878906,0.63,多空分歧,46.2,↑,MA20上方,40%,PE:--,EPS:-4.63,營收:98%,1.0x,,中性★,— 目前無買入信號,$43.3 ~ $44.2,$42.2
NVDA,NVIDIA,220.77999877929688,0.61,三線多頭,64.2,↑,多頭排列,97%,PE:45.1,EPS:4.89,營收:73%,0.9x,,強勢★★★,— 目前無買入信號,$189.2 ~ $193.0,$188.9
2530.TW,華建,21.299999237060547,0.47,多空分歧,37.5,↑,MA20下方,10%,PE:10.7,EPS:1.99,營收:-91%,2.2x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$19.9 ~ $20.3,$19.4
GEV,GE Vernova,1071.97998046875,-0.1,多空分歧,41.3,↓,MA20上方,86%,PE:31.3,EPS:34.23,營收:16%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$952.5 ~ $971.6,$940.4
2317.TW,鴻海,250.0,-0.79,多空分歧,76.4,↑,MA20上方,88%,PE:18.7,EPS:13.40,營收:22%,1.3x,外資買超,偏弱,— 目前無買入信號,$191.7 ~ $195.6,$197.4
3017.TW,奇鋐,2520.0,-1.37,偏多,48.3,↓,MA20下方,80%,PE:52.4,EPS:48.13,營收:128%,0.7x,外資賣超,中性★,🎯 一條件滿足 — 待確認,"$2,194.5 ~ $2,238.7","$2,192.2"
TSM,台積電ADR,397.2799987792969,-1.79,多空分歧,54.8,↓,MA20上方,90%,PE:33.9,EPS:11.73,營收:35%,1.4x,,偏弱,— 目前無買入信號,$357.4 ~ $364.6,$349.7
AMD,AMD,448.2900085449219,-2.29,三線多頭,76.0,↑,多頭排列,94%,PE:150.4,EPS:2.98,營收:38%,0.8x,,稍強★★,— 目前無買入信號,$219.7 ~ $224.2,$244.3
LRCX,科林研發,289.239990234375,-2.3,三線多頭,60.5,↑,MA20上方,95%,PE:54.6,EPS:5.30,營收:24%,0.8x,,稍強★★,— 目前無買入信號,$237.1 ~ $241.8,$234.4
MU,美光,766.5800170898438,-3.61,三線多頭,82.4,↑,多頭排列,93%,PE:36.2,EPS:21.16,營收:196%,2.3x,,稍強★★,— 目前無買入信號,$332.8 ~ $339.5,$422.8
00631L.TW,元大台灣50正2,,,三線多頭,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,1.3x,外資賣超,稍強★★,— 目前無買入信號,$24.2 ~ $24.7,$23.6
00910.TW,第一金太空衛星,,,偏多,,↓,MA20下方,nan%,PE:35.1,EPS:--,營收:--,1.6x,外資買超,稍強★★,— 目前無買入信號,$63.9 ~ $65.2,$62.3
2308.TW,台達電,2195.0,-2.23,偏多,62.3,↓,MA20上方,91%,PE:95.2,EPS:23.05,營收:34%,1.0x,外資賣超,中性★,— 目前無買入信號,"$1,723.4 ~ $1,758.0","$1,697.5"
