標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:21.0,EPS:--,營收:--,1.1x,外資買超,中性★,— 目前無買入信號,$45.3 ~ $46.2,$44.2
0056.TW,元大高股息,,,多空分歧,,↑,MA20下方,nan%,PE:19.8,EPS:--,營收:--,2.3x,外資賣超,偏弱,— 目前無買入信號,$43.4 ~ $44.3,$42.4
MU,美光,948.0,9.72,多空分歧,68.3,↓,MA20上方,86%,PE:44.8,EPS:21.17,營收:196%,1.3x,,中性★,— 目前無買入信號,$602.9 ~ $615.0,$632.6
LRCX,科林研發,326.1022033691406,7.53,多空分歧,66.1,↓,MA20上方,92%,PE:61.8,EPS:5.28,營收:24%,0.5x,,偏弱,— 目前無買入信號,$262.4 ~ $267.7,$255.8
AMD,AMD,491.5,5.39,多空分歧,63.1,↓,MA20上方,87%,PE:164.9,EPS:2.98,營收:38%,0.4x,,中性★,— 目前無買入信號,$391.4 ~ $399.3,$381.6
TSM,台積電ADR,428.1449890136719,3.13,多空分歧,61.8,↓,MA20上方,91%,PE:36.7,EPS:11.67,營收:35%,0.7x,,中性★,— 目前無買入信號,$380.8 ~ $388.4,$373.5
NVDA,NVIDIA,208.82000732421875,1.81,多空分歧,39.7,↓,空頭排列,71%,PE:32.0,EPS:6.52,營收:85%,0.5x,,中性★,🎯 一條件滿足 — 待確認,$203.3 ~ $207.4,$198.2
GEV,GE Vernova,941.0050048828125,0.79,多空分歧,36.3,↓,空頭排列,67%,PE:27.5,EPS:34.26,營收:16%,0.4x,,偏弱,🎯 一條件滿足 — 待確認,$908.9 ~ $927.2,$893.8
6111.TWO,6111擎亞,44.0,0.0,多空分歧,41.5,↓,MA20下方,29%,PE:--,EPS:-4.63,營收:98%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$41.1 ~ $41.9,$40.1
3017.TW,奇鋐,2570.0,-1.15,多空分歧,56.9,↓,MA20下方,81%,PE:42.8,EPS:60.06,營收:110%,0.6x,外資買超,中性★,🎯 一條件滿足 — 待確認,"$2,288.5 ~ $2,334.5","$2,231.0"
3293.TWO,鈊象電子,780.0,-1.27,三線多頭,67.1,↑,MA20上方,52%,PE:20.6,EPS:37.84,營收:17%,2.1x,,稍強★★,— 目前無買入信號,$693.5 ~ $707.5,$688.7
2530.TW,華建,19.25,-1.79,偏空,40.0,↑,MA20下方,10%,PE:9.7,EPS:1.99,營收:16%,1.0x,外資買超,偏弱,🎯 一條件滿足 — 待確認,$17.6 ~ $18.0,$17.2
2308.TW,台達電,2255.0,-1.96,多空分歧,64.5,↓,MA20上方,85%,PE:98.0,EPS:23.00,營收:34%,1.1x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,"$1,857.9 ~ $1,895.3","$1,823.6"
00713.TW,元大高息低波,57.88999938964844,-2.95,三線多頭,65.0,↑,MA20上方,81%,PE:17.6,EPS:--,營收:--,0.0x,外資買超,強勢★★★,— 目前無買入信號,$52.8 ~ $53.9,$52.8
2330.TW,台積電,2295.0,-2.96,多空分歧,59.4,↓,MA20上方,90%,PE:31.2,EPS:73.55,營收:35%,1.4x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,"$2,150.1 ~ $2,193.3","$2,119.4"
00878.TW,國泰永續高股息,31.110000610351562,-3.74,多空分歧,71.1,↑,MA20上方,84%,PE:21.7,EPS:--,營收:--,2.2x,外資買超,中性★,— 目前無買入信號,$24.9 ~ $25.5,$25.8
00919.TW,群益台灣精選高息,29.479999542236328,-3.88,偏多,74.8,↑,MA20上方,88%,PE:15.5,EPS:--,營收:--,2.7x,外資賣超,中性★,— 目前無買入信號,$23.8 ~ $24.3,$24.5
2317.TW,鴻海,269.5,-5.27,多空分歧,60.3,↑,MA20上方,73%,PE:20.1,EPS:13.40,營收:29%,1.7x,外資賣超,偏弱,— 目前無買入信號,$221.4 ~ $225.8,$232.3
00910.TW,第一金太空衛星,70.5999984741211,-7.77,多空分歧,43.1,↓,MA20下方,71%,PE:33.6,EPS:--,營收:--,2.9x,外資賣超,迴避,🎯 一條件滿足 — 待確認,$67.7 ~ $69.1,$67.9
00631L.TW,元大台灣50正2,33.79999923706055,-7.83,多空分歧,60.5,↓,MA20下方,82%,PE:--,EPS:--,營收:--,5.4x,外資賣超,迴避,🎯 一條件滿足 — 待確認,$28.0 ~ $28.6,$28.5
