標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:21.0,EPS:--,營收:--,0.3x,,偏弱,— 目前無買入信號,$43.9 ~ $44.8,$42.8
0056.TW,元大高股息,,,三線多頭,,↓,MA20下方,nan%,PE:22.2,EPS:--,營收:--,0.3x,,稍強★★,— 目前無買入信號,$51.4 ~ $52.5,$50.1
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:19.6,EPS:--,營收:--,0.5x,,稍強★★,— 目前無買入信號,$32.1 ~ $32.8,$31.3
3017.TW,奇鋐,3430.0,7.69,偏多,50.2,↓,MA20上方,94%,PE:46.2,EPS:74.21,營收:66%,0.7x,,稍強★★,🎯 一條件滿足 — 待確認,"$2,726.3 ~ $2,781.1","$2,657.8"
6111.TWO,6111擎亞,35.79999923706055,3.02,多空分歧,38.0,↓,MA20下方,13%,PE:--,EPS:-4.33,營收:174%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$32.9 ~ $33.6,$32.1
00713.TW,元大高息低波,,,三線多頭,,↑,MA20下方,nan%,PE:19.6,EPS:--,營收:--,0.8x,,稍強★★,— 目前無買入信號,$60.9 ~ $62.2,$59.4
00919.TW,群益台灣精選高息,,,三線多頭,,↑,MA20下方,nan%,PE:16.0,EPS:--,營收:--,1.2x,,稍強★★,— 目前無買入信號,$29.4 ~ $30.0,$28.7
NVDA,NVIDIA,,,三線多頭,,↓,MA20下方,nan%,PE:28.1,EPS:7.92,營收:106%,1.1x,,稍強★★,— 目前無買入信號,$206.0 ~ $210.1,$200.8
GEV,GE Vernova,,,多空分歧,,↑,MA20下方,nan%,PE:27.0,EPS:34.87,營收:22%,1.4x,,中性★,— 目前無買入信號,$863.9 ~ $881.3,$842.2
2330.TW,台積電,2460.0,1.44,三線多頭,58.8,↑,MA20上方,95%,PE:28.7,EPS:85.61,營收:36%,1.1x,,強勢★★★,— 目前無買入信號,"$2,331.4 ~ $2,378.2","$2,272.8"
3293.TWO,鈊象電子,729.0,0.55,多空分歧,49.5,↑,MA20上方,54%,PE:17.0,EPS:42.79,營收:15%,2.2x,,中性★,— 目前無買入信號,$683.6 ~ $697.3,$666.4
AMD,AMD,,,三線多頭,,↑,MA20下方,nan%,PE:142.8,EPS:3.92,營收:50%,0.8x,,強勢★★★,— 目前無買入信號,$438.3 ~ $447.1,$427.3
TSM,台積電ADR,,,多空分歧,,↑,MA20下方,nan%,PE:32.4,EPS:13.42,營收:36%,1.0x,,中性★,— 目前無買入信號,$402.0 ~ $410.1,$391.9
2530.TW,華建,20.799999237060547,3.23,三線多頭,69.1,↑,多頭排列,27%,PE:33.0,EPS:0.63,營收:-99%,1.5x,,稍強★★,— 目前無買入信號,$18.1 ~ $18.4,$17.8
2317.TW,鴻海,250.5,0.0,偏多,50.6,↓,MA20上方,56%,PE:16.6,EPS:15.11,營收:41%,0.7x,,稍強★★,🎯🎯 兩條件滿足 — 觀察買入點,$236.8 ~ $241.6,$230.9
MU,美光,,,三線多頭,,↓,MA20下方,nan%,PE:22.9,EPS:44.28,營收:346%,0.9x,,稍強★★,— 目前無買入信號,$883.2 ~ $900.9,$861.0
LRCX,科林研發,,,三線空頭,,↓,MA20下方,nan%,PE:50.0,EPS:5.76,營收:30%,1.8x,,迴避,— 目前無買入信號,$264.0 ~ $269.4,$257.4
00631L.TW,元大台灣50正2,,,三線多頭,,↓,MA20下方,nan%,PE:--,EPS:--,營收:--,1.1x,,稍強★★,— 目前無買入信號,$33.2 ~ $33.8,$32.3
00910.TW,第一金太空衛星,,,多空分歧,,↑,MA20下方,nan%,PE:23.7,EPS:--,營收:--,0.4x,,中性★,— 目前無買入信號,$55.0 ~ $56.1,$53.6
2308.TW,台達電,1735.0,2.97,多空分歧,42.2,↓,MA20下方,52%,PE:53.8,EPS:32.27,營收:48%,1.0x,,中性★,🎯 一條件滿足 — 待確認,"$1,552.2 ~ $1,583.4","$1,513.2"
