標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
6111.TWO,6111擎亞,40.95000076293945,2.89,偏空,38.6,↑,MA20下方,12%,PE:--,EPS:-4.63,營收:128%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$38.9 ~ $39.7,$38.0
00713.TW,元大高息低波,61.0,0.74,三線多頭,50.0,↓,多頭排列,96%,PE:18.3,EPS:--,營收:--,0.5x,,稍強★★,🎯 一條件滿足 — 待確認,$59.3 ~ $60.5,$57.8
2530.TW,華建,20.0,0.25,多空分歧,55.2,↑,多頭排列,17%,PE:10.4,EPS:1.93,營收:16%,1.4x,,中性★,— 目前無買入信號,$18.4 ~ $18.7,$17.9
00919.TW,群益台灣精選高息,29.489999771118164,-0.03,多空分歧,46.2,↓,MA20上方,87%,PE:14.8,EPS:--,營收:--,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$28.3 ~ $28.8,$27.6
00878.TW,國泰永續高股息,32.61000061035156,-0.37,多空分歧,41.3,↓,MA20下方,87%,PE:18.4,EPS:--,營收:--,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$30.9 ~ $31.6,$30.2
3293.TWO,鈊象電子,710.0,-0.42,多空分歧,33.1,↓,MA20下方,42%,PE:18.8,EPS:37.84,營收:17%,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$677.7 ~ $691.4,$661.5
00909.TW,國泰智能電動車ETF,47.209999084472656,-0.48,多空分歧,54.6,↑,MA20上方,75%,PE:21.0,EPS:--,營收:--,0.2x,,中性★,— 目前無買入信號,$42.8 ~ $43.7,$41.7
00910.TW,第一金太空衛星,55.70000076293945,-0.62,多空分歧,25.3,↑,MA20下方,41%,PE:22.5,EPS:--,營收:--,0.2x,,中性★,🎯 一條件滿足 — 待確認,$51.6 ~ $52.6,$51.7
0056.TW,元大高股息,50.20000076293945,-0.89,多空分歧,41.7,↓,MA20下方,86%,PE:19.6,EPS:--,營收:--,0.5x,,偏弱,🎯 一條件滿足 — 待確認,$47.5 ~ $48.5,$46.3
NVDA,NVIDIA,206.83999633789062,-0.92,三線多頭,59.6,↑,MA20上方,59%,PE:31.6,EPS:6.54,營收:85%,0.7x,,強勢★★★,— 目前無買入信號,$188.9 ~ $192.6,$184.1
GEV,GE Vernova,1014.75,-1.59,多空分歧,33.0,↓,空頭排列,73%,PE:29.6,EPS:34.30,營收:22%,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$973.1 ~ $992.7,$948.7
2317.TW,鴻海,252.5,-1.94,多空分歧,60.2,↑,多頭排列,63%,PE:18.8,EPS:13.41,營收:29%,0.5x,,中性★,— 目前無買入信號,$227.5 ~ $232.0,$223.1
2330.TW,台積電,2350.0,-2.29,多空分歧,40.2,↓,空頭排列,87%,PE:31.9,EPS:73.56,營收:36%,0.7x,,中性★,🎯 一條件滿足 — 待確認,"$2,278.6 ~ $2,324.3","$2,221.3"
3017.TW,奇鋐,2380.0,-2.46,多空分歧,38.6,↑,MA20上方,71%,PE:39.7,EPS:59.98,營收:110%,0.7x,,中性★,🎯 一條件滿足 — 待確認,"$1,977.0 ~ $2,016.7","$1,954.5"
TSM,台積電ADR,403.4100036621094,-2.93,多空分歧,27.9,↓,空頭排列,71%,PE:35.6,EPS:11.34,營收:36%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$384.1 ~ $391.8,$374.4
AMD,AMD,521.9500122070312,-3.29,偏多,44.1,↓,MA20下方,86%,PE:178.8,EPS:2.92,營收:38%,0.6x,,稍強★★,🎯 一條件滿足 — 待確認,$457.9 ~ $467.1,$446.4
00631L.TW,元大台灣50正2,33.5,-4.48,多空分歧,31.3,↓,空頭排列,73%,PE:--,EPS:--,營收:--,1.6x,,偏弱,🎯 一條件滿足 — 待確認,$31.5 ~ $32.2,$30.7
LRCX,科林研發,305.2099914550781,-4.56,多空分歧,36.2,↓,空頭排列,62%,PE:57.8,EPS:5.28,營收:24%,0.8x,,偏弱,🎯 一條件滿足 — 待確認,$274.1 ~ $279.6,$289.7
2308.TW,台達電,1785.0,-5.05,多空分歧,34.6,↑,空頭排列,62%,PE:65.8,EPS:27.13,營收:34%,0.5x,,中性★,🎯 一條件滿足 — 待確認,"$1,656.7 ~ $1,690.0","$1,615.0"
MU,美光,920.9500122070312,-6.99,多空分歧,44.4,↓,MA20下方,71%,PE:22.4,EPS:41.17,營收:346%,1.1x,,中性★,🎯 一條件滿足 — 待確認,$797.6 ~ $813.7,$779.9
